iter	Passed	Remaining
0	1	105
1	1	96
2	2	91
3	3	87
4	4	85
5	5	83
6	6	84
7	7	83
8	8	81
9	8	79
10	9	78
11	10	77
12	11	76
13	12	75
14	13	77
15	14	76
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	64
28	26	63
29	26	62
30	27	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	51
43	39	49
44	39	48
45	40	47
46	41	46
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	58	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	63	23
73	65	22
74	65	21
75	66	21
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	85	0
99	86	0
